Gene Symbol	Description	Category	Gifts	GC Id	Relevance score	 GeneCards Link
TMPRSS2	Transmembrane Serine Protease 2	Protein Coding	48	GC21M041464	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS2
PTGR1	Prostaglandin Reductase 1	Protein Coding	47	GC09M111549	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGR1
C4BPB	Complement Component 4 Binding Protein Beta	Protein Coding	45	GC01P207088	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4BPB
ABO	ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase	Protein Coding	41	GC09M133250	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO
DEFB103A	Defensin Beta 103A	Protein Coding	32	GC08P007881	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB103A
MIR590	MicroRNA 590	RNA Gene	18	GC07P074191	1.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR590
PRKCI	Protein Kinase C Iota	Protein Coding	55	GC03P170222	1.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCI
SERPINB3	Serpin Family B Member 3	Protein Coding	48	GC18M063638	1.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB3
EIF4E	Eukaryotic Translation Initiation Factor 4E	Protein Coding	57	GC04M098871	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E
PIK3C3	Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3	Protein Coding	55	GC18P041955	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3
YWHAQ	Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta	Protein Coding	54	GC02M009641	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ
PDP1	Pyruvate Dehyrogenase Phosphatase Catalytic Subunit 1	Protein Coding	52	GC08P093857	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDP1
TRIM28	Tripartite Motif Containing 28	Protein Coding	49	GC19P058544	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28
CDH13	Cadherin 13	Protein Coding	48	GC16P082660	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH13
WWTR1	WW Domain Containing Transcription Regulator 1	Protein Coding	48	GC03M149517	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWTR1
RNF2	Ring Finger Protein 2	Protein Coding	47	GC01P185045	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF2
SRD5A2	Steroid 5 Alpha-Reductase 2	Protein Coding	47	GC02M031485	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A2
SUCNR1	Succinate Receptor 1	Protein Coding	45	GC03P151873	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCNR1
ADAMTS12	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 12	Protein Coding	44	GC05M033524	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS12
CALCB	Calcitonin Related Polypeptide Beta	Protein Coding	44	GC11P014926	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCB
HLA-DRB3	Major Histocompatibility Complex, Class II, DR Beta 3	Protein Coding	29	GC06Mi03824	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB3
NR1D1	Nuclear Receptor Subfamily 1 Group D Member 1	Protein Coding	55	GC17M040092	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1D1
FZD5	Frizzled Class Receptor 5	Protein Coding	54	GC02M207762	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD5
PLD2	Phospholipase D2	Protein Coding	53	GC17P004808	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD2
HDAC7	Histone Deacetylase 7	Protein Coding	50	GC12M047782	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC7
HCAR2	Hydroxycarboxylic Acid Receptor 2	Protein Coding	42	GC12M122701	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCAR2
KLRG1	Killer Cell Lectin Like Receptor G1	Protein Coding	42	GC12P008922	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRG1
TRG	T Cell Receptor Gamma Locus	Protein Coding	15	GC07M038240	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRG
NM	Neutrophil Migration	Genetic Locus	11	GC07U990060	1.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NM
MYF5	Myogenic Factor 5	Protein Coding	45	GC12P080716	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYF5
CLCF1	Cardiotrophin Like Cytokine Factor 1	Protein Coding	49	GC11M067364	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCF1
GPR83	G Protein-Coupled Receptor 83	Protein Coding	45	GC11M094295	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR83
CDK2	Cyclin Dependent Kinase 2	Protein Coding	60	GC12P055966	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2
MCM2	Minichromosome Maintenance Complex Component 2	Protein Coding	54	GC03P127598	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM2
SFRP1	Secreted Frizzled Related Protein 1	Protein Coding	50	GC08M041238	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1
PLK1	Polo Like Kinase 1	Protein Coding	54	GC16P023810	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK1
NR2F2	Nuclear Receptor Subfamily 2 Group F Member 2	Protein Coding	54	GC15P096325	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F2
IL11RA	Interleukin 11 Receptor Subunit Alpha	Protein Coding	52	GC09P034650	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL11RA
MKNK1	MAP Kinase Interacting Serine/Threonine Kinase 1	Protein Coding	52	GC01M046557	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKNK1
PLN	Phospholamban	Protein Coding	51	GC06P118548	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLN
GRIK1	Glutamate Ionotropic Receptor Kainate Type Subunit 1	Protein Coding	51	GC21M029536	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK1
ATP6V0A2	ATPase H+ Transporting V0 Subunit A2	Protein Coding	50	GC12P123712	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0A2
PDIA3	Protein Disulfide Isomerase Family A Member 3	Protein Coding	50	GC15P043746	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA3
RIPK4	Receptor Interacting Serine/Threonine Kinase 4	Protein Coding	49	GC21M041739	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK4
LIPF	Lipase F, Gastric Type	Protein Coding	49	GC10P088664	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPF
NRIP1	Nuclear Receptor Interacting Protein 1	Protein Coding	47	GC21M014961	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRIP1
USP4	Ubiquitin Specific Peptidase 4	Protein Coding	47	GC03M049315	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP4
TFEB	Transcription Factor EB	Protein Coding	47	GC06M041685	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFEB
MBOAT7	Membrane Bound O-Acyltransferase Domain Containing 7	Protein Coding	46	GC19M054173	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBOAT7
DUOX1	Dual Oxidase 1	Protein Coding	46	GC15P045129	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX1
POLR2L	RNA Polymerase II Subunit L	Protein Coding	45	GC11M000829	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2L
LRRFIP1	LRR Binding FLII Interacting Protein 1	Protein Coding	45	GC02P237627	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRFIP1
CD300LF	CD300 Molecule Like Family Member F	Protein Coding	45	GC17M074694	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD300LF
PARG	Poly(ADP-Ribose) Glycohydrolase	Protein Coding	45	GC10M049818	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARG
COMMD6	COMM Domain Containing 6	Protein Coding	39	GC13M075525	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMMD6
MIR181C	MicroRNA 181c	RNA Gene	21	GC19P013858	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C
MSBP2	Minisatellite Binding Protein 2	Protein Coding	6	GC00U990214	1.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSBP2
MAS1	MAS1 Proto-Oncogene, G Protein-Coupled Receptor	Protein Coding	44	GC06P159906	1.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAS1
MAPK11	Mitogen-Activated Protein Kinase 11	Protein Coding	55	GC22M050263	1.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK11
TPI1	Triosephosphate Isomerase 1	Protein Coding	55	GC12P006883	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1
GRIA2	Glutamate Ionotropic Receptor AMPA Type Subunit 2	Protein Coding	55	GC04P157204	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA2
OPRL1	Opioid Related Nociceptin Receptor 1	Protein Coding	51	GC20P064080	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRL1
SLC7A11	Solute Carrier Family 7 Member 11	Protein Coding	50	GC04M138164	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A11
NRF1	Nuclear Respiratory Factor 1	Protein Coding	48	GC07P129611	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRF1
ACKR4	Atypical Chemokine Receptor 4	Protein Coding	38	GC03P132597	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR4
RARG	Retinoic Acid Receptor Gamma	Protein Coding	55	GC12M053210	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARG
ID1	Inhibitor Of DNA Binding 1, HLH Protein	Protein Coding	49	GC20P031605	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID1
NR1D2	Nuclear Receptor Subfamily 1 Group D Member 2	Protein Coding	47	GC03P023961	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1D2
LRG1	Leucine Rich Alpha-2-Glycoprotein 1	Protein Coding	45	GC19M004538	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRG1
LMOD1	Leiomodin 1	Protein Coding	45	GC01M201896	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD1
KMT2D	Lysine Methyltransferase 2D	Protein Coding	47	GC12M049018	1.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D
GSS	Glutathione Synthetase	Protein Coding	55	GC20M034928	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSS
KCNK3	Potassium Two Pore Domain Channel Subfamily K Member 3	Protein Coding	55	GC02P026692	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK3
PINK1	PTEN Induced Putative Kinase 1	Protein Coding	55	GC01P020634	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1
CSTB	Cystatin B	Protein Coding	53	GC21M043772	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSTB
GPD1	Glycerol-3-Phosphate Dehydrogenase 1	Protein Coding	52	GC12P050105	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD1
GNMT	Glycine N-Methyltransferase	Protein Coding	52	GC06P042961	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNMT
RARS	Arginyl-TRNA Synthetase	Protein Coding	52	GC05P168486	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS
FANCC	FA Complementation Group C	Protein Coding	52	GC09M095099	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC
PSMB9	Proteasome Subunit Beta 9	Protein Coding	51	GC06P032825	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB9
BNIP3	BCL2 Interacting Protein 3	Protein Coding	49	GC10M131966	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3
LTBP1	Latent Transforming Growth Factor Beta Binding Protein 1	Protein Coding	49	GC02P032946	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP1
ASH2L	ASH2 Like, Histone Lysine Methyltransferase Complex Subunit	Protein Coding	48	GC08P038104	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASH2L
IER3	Immediate Early Response 3	Protein Coding	45	GC06M030743	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IER3
IPMK	Inositol Polyphosphate Multikinase	Protein Coding	44	GC10M058191	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPMK
MIR15A	MicroRNA 15a	RNA Gene	15	GC13M050049	1.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A
ROR2	Receptor Tyrosine Kinase Like Orphan Receptor 2	Protein Coding	55	GC09M091564	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROR2
GTF2I	General Transcription Factor IIi	Protein Coding	48	GC07P074658	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2I
PRKCH	Protein Kinase C Eta	Protein Coding	57	GC14P061187	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCH
CYP1B1	Cytochrome P450 Family 1 Subfamily B Member 1	Protein Coding	55	GC02M038034	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1
SLC19A1	Solute Carrier Family 19 Member 1	Protein Coding	52	GC21M045493	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A1
HGFAC	HGF Activator	Protein Coding	46	GC04P003443	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGFAC
PRMT6	Protein Arginine Methyltransferase 6	Protein Coding	45	GC01P107056	1.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT6
HSF1	Heat Shock Transcription Factor 1	Protein Coding	52	GC08P144291	1.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1
PRKACB	Protein Kinase CAMP-Activated Catalytic Subunit Beta	Protein Coding	54	GC01P084078	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACB
SLC22A2	Solute Carrier Family 22 Member 2	Protein Coding	51	GC06M160173	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A2
PTPRO	Protein Tyrosine Phosphatase, Receptor Type O	Protein Coding	50	GC12P015366	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRO
NUMA1	Nuclear Mitotic Apparatus Protein 1	Protein Coding	50	GC11M072002	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMA1
TRPV3	Transient Receptor Potential Cation Channel Subfamily V Member 3	Protein Coding	50	GC17M003515	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV3
COL4A6	Collagen Type IV Alpha 6 Chain	Protein Coding	49	GC0XM108155	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A6
RPS3	Ribosomal Protein S3	Protein Coding	49	GC11P075468	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3
STK38	Serine/Threonine Kinase 38	Protein Coding	49	GC06M036493	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK38
NR2E1	Nuclear Receptor Subfamily 2 Group E Member 1	Protein Coding	48	GC06P108166	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2E1
RGS16	Regulator Of G Protein Signaling 16	Protein Coding	47	GC01M182598	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS16
UTS2R	Urotensin 2 Receptor	Protein Coding	47	GC17P082374	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTS2R
DOCK4	Dedicator Of Cytokinesis 4	Protein Coding	46	GC07M111726	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK4
GPR183	G Protein-Coupled Receptor 183	Protein Coding	45	GC13M099296	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR183
AHCYL2	Adenosylhomocysteinase Like 2	Protein Coding	44	GC07P129225	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHCYL2
ICAM4	Intercellular Adhesion Molecule 4 (Landsteiner-Wiener Blood Group)	Protein Coding	43	GC19P010286	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM4
CLEC6A	C-Type Lectin Domain Containing 6A	Protein Coding	42	GC12P008455	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC6A
STK40	Serine/Threonine Kinase 40	Protein Coding	42	GC01M036339	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK40
GPR151	G Protein-Coupled Receptor 151	Protein Coding	37	GC05M146513	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR151
C2CD4C	C2 Calcium Dependent Domain Containing 4C	Protein Coding	34	GC19M000406	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD4C
MUC8	Mucin 8	Protein Coding	19	GC12M132472	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC8
IDE	Insulin Degrading Enzyme	Protein Coding	55	GC10M092451	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE
FZD1	Frizzled Class Receptor 1	Protein Coding	51	GC07P091264	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD1
TBX3	T-Box 3	Protein Coding	51	GC12M114670	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX3
CPA6	Carboxypeptidase A6	Protein Coding	48	GC08M067463	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA6
KRT3	Keratin 3	Protein Coding	47	GC12M052789	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT3
MARCKS	Myristoylated Alanine Rich Protein Kinase C Substrate	Protein Coding	45	GC06P113857	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCKS
ADAMTS7	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 7	Protein Coding	44	GC15M078759	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS7
NCEH1	Neutral Cholesterol Ester Hydrolase 1	Protein Coding	44	GC03M172630	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCEH1
C1QTNF6	C1q And TNF Related 6	Protein Coding	43	GC22M037180	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QTNF6
FFAR3	Free Fatty Acid Receptor 3	Protein Coding	41	GC19P036777	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR3
MIR499A	MicroRNA 499a	RNA Gene	20	GC20P034990	1.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR499A
ALDOA	Aldolase, Fructose-Bisphosphate A	Protein Coding	54	GC16P030064	1.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOA
ACTC1	Actin, Alpha, Cardiac Muscle 1	Protein Coding	49	GC15M034788	1.19	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1
BCL3	B Cell CLL/Lymphoma 3	Protein Coding	48	GC19P044747	1.19	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL3
DBH	Dopamine Beta-Hydroxylase	Protein Coding	57	GC09P133636	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH
AURKA	Aurora Kinase A	Protein Coding	56	GC20M056370	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA
SMAD1	SMAD Family Member 1	Protein Coding	50	GC04P145481	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD1
AGRP	Agouti Related Neuropeptide	Protein Coding	49	GC16M067482	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP
MEF2D	Myocyte Enhancer Factor 2D	Protein Coding	49	GC01M156463	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2D
SMG1	SMG1, Nonsense Mediated MRNA Decay Associated PI3K Related Kinase	Protein Coding	48	GC16M018816	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMG1
KAT6B	Lysine Acetyltransferase 6B	Protein Coding	47	GC10P074827	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT6B
ITIH2	Inter-Alpha-Trypsin Inhibitor Heavy Chain 2	Protein Coding	46	GC10P007703	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH2
MPP1	Membrane Palmitoylated Protein 1	Protein Coding	45	GC0XM154779	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP1
S100A14	S100 Calcium Binding Protein A14	Protein Coding	43	GC01M153614	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A14
ENTPD7	Ectonucleoside Triphosphate Diphosphohydrolase 7	Protein Coding	42	GC10P099659	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD7
MIR181A2	MicroRNA 181a-2	RNA Gene	19	GC09P124692	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A2
DEFB109B	Defensin Beta 109B	Protein Coding	14	GC08P007313	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB109B
TBL2	Transducin Beta Like 2	Protein Coding	45	GC07M073568	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL2
GORAB	Golgin, RAB6 Interacting	Protein Coding	44	GC01P170501	1.18	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GORAB
FXN	Frataxin	Protein Coding	53	GC09P069035	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXN
MAFB	MAF BZIP Transcription Factor B	Protein Coding	50	GC20M040685	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB
IGFBP4	Insulin Like Growth Factor Binding Protein 4	Protein Coding	49	GC17P040443	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP4
MAP3K4	Mitogen-Activated Protein Kinase Kinase Kinase 4	Protein Coding	48	GC06P160991	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K4
VTCN1	V-Set Domain Containing T Cell Activation Inhibitor 1	Protein Coding	45	GC01M117143	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTCN1
NXPH1	Neurexophilin 1	Protein Coding	43	GC07P008440	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXPH1
DEFB114	Defensin Beta 114	Protein Coding	31	GC06M049928	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB114
MIR219A2	MicroRNA 219a-2	RNA Gene	16	GC09M128393	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR219A2
TRD	T Cell Receptor Delta Locus	Protein Coding	14	GC14P022425	1.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRD
EPHA1	EPH Receptor A1	Protein Coding	54	GC07M143390	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA1
RASGRP2	RAS Guanyl Releasing Protein 2	Protein Coding	52	GC11M064744	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP2
UBE2L3	Ubiquitin Conjugating Enzyme E2 L3	Protein Coding	52	GC22P021549	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2L3
STS	Steroid Sulfatase	Protein Coding	51	GC0XP007147	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STS
PRCP	Prolylcarboxypeptidase	Protein Coding	50	GC11M082758	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRCP
COL10A1	Collagen Type X Alpha 1 Chain	Protein Coding	49	GC06M116118	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL10A1
KLF10	Kruppel Like Factor 10	Protein Coding	48	GC08M102648	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF10
ITGB8	Integrin Subunit Beta 8	Protein Coding	48	GC07P020370	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB8
COIL	Coilin	Protein Coding	47	GC17M056938	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COIL
KLF7	Kruppel Like Factor 7	Protein Coding	47	GC02M207074	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF7
PIAS4	Protein Inhibitor Of Activated STAT 4	Protein Coding	47	GC19P004007	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS4
DDT	D-Dopachrome Tautomerase	Protein Coding	46	GC22M023971	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDT
CDK20	Cyclin Dependent Kinase 20	Protein Coding	45	GC09M087966	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK20
GPSM1	G Protein Signaling Modulator 1	Protein Coding	43	GC09P136327	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPSM1
PMCH	Pro-Melanin Concentrating Hormone	Protein Coding	41	GC12M102196	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMCH
CCAR2	Cell Cycle And Apoptosis Regulator 2	Protein Coding	40	GC08P022604	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR2
CIP2A	Cell Proliferation Regulating Inhibitor Of Protein Phosphatase 2A	Protein Coding	31	GC03M108545	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIP2A
MIR302B	MicroRNA 302b	RNA Gene	16	GC04M112659	1.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302B
SLC7A2	Solute Carrier Family 7 Member 2	Protein Coding	48	GC08P017497	1.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A2
CREBBP	CREB Binding Protein	Protein Coding	59	GC16M003726	1.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP
RGMA	Repulsive Guidance Molecule BMP Co-Receptor A	Protein Coding	45	GC15M093035	1.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGMA
DEFA6	Defensin Alpha 6	Protein Coding	42	GC08M006924	1.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFA6
LIFR	LIF Receptor Alpha	Protein Coding	54	GC05M038475	1.14	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR
VIPR1	Vasoactive Intestinal Peptide Receptor 1	Protein Coding	54	GC03P042520	1.14	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR1
KCNMA1	Potassium Calcium-Activated Channel Subfamily M Alpha 1	Protein Coding	55	GC10M076869	1.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1
FEN1	Flap Structure-Specific Endonuclease 1	Protein Coding	53	GC11P061811	1.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FEN1
SLC9A3R1	SLC9A3 Regulator 1	Protein Coding	52	GC17P074749	1.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3R1
NDST1	N-Deacetylase And N-Sulfotransferase 1	Protein Coding	52	GC05P150484	1.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDST1
SMAD6	SMAD Family Member 6	Protein Coding	52	GC15P066702	1.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD6
